Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
49-R.Francois,GB,LB,99,0,0.0%,12,1.1%,87,17.9%
19-Jo.Anderson,CHI,WR,99,13,1.2%,0,0.0%,86,17.7%
78-J.Parnell,DAL,OL,98,20,2.0%,0,0.0%,78,16.4%
7-L.McCown,NO,QB,97,16,1.4%,0,0.0%,81,17.9%
94-M.Hughes,IND,DL,97,0,0.0%,71,6.7%,26,5.6%
27-E.Baker,CLE,RB,97,97,8.8%,0,0.0%,0,0.0%
53-B.Kehl,WAS,LB,97,0,0.0%,4,0.4%,93,19.5%
85-T.Scheffler,DET,TE,96,86,7.6%,0,0.0%,10,2.1%
35-J.Lefeged,IND,DB,96,0,0.0%,19,1.8%,77,16.6%
29-S.Schillinger,ATL,DB,95,0,0.0%,7,0.7%,88,19.3%
22-J.Taylor,MIA,DB,95,0,0.0%,42,3.7%,53,11.3%
69-R.Watkins,KC,OL,94,88,8.1%,0,0.0%,6,1.2%
87-S.Maneri,CHI,TE,94,63,6.0%,0,0.0%,31,6.4%
48-Z.Line,MIN,FB,93,68,6.5%,0,0.0%,25,5.0%
92-J.Wynn,SD,DL,93,0,0.0%,86,8.7%,7,1.6%
86-B.Williams,CAR,TE,91,26,2.5%,0,0.0%,65,15.4%
70-S.Schilling,SD,OL,91,59,5.3%,0,0.0%,32,7.2%
32-J.Johnson,SEA,DB,91,0,0.0%,28,2.7%,63,14.1%
78-J.Looney,SF,OL,91,69,7.0%,0,0.0%,22,4.8%
58-S.Barrington,GB,LB,90,0,0.0%,1,0.1%,89,18.4%
34-T.Richardson,CLE,RB,90,90,8.1%,0,0.0%,0,0.0%
35-D.Shead,SEA,DB,90,0,0.0%,8,0.8%,82,18.4%
33-C.Greenwood,DET,DB,89,0,0.0%,64,6.2%,25,5.3%
14-Ma.Moore,SF,WR,89,78,7.9%,0,0.0%,11,2.4%
75-B.Sanford,OAK,DL,88,0,0.0%,86,8.0%,2,0.4%
72-W.Yeatman,MIA,OL,88,18,1.8%,0,0.0%,70,15.0%
24-D.Franks,ATL,DB,88,0,0.0%,12,1.2%,76,16.7%
